,HELLO,GOODBYE,PLEASE,THANK YOU,SORRY,YES,NO,GOOD,BAD,ONE,TWO,THREE,FOUR,HAPPY,SIX,SEVEN,EIGHT,NINE,RED,BLUE,GREEN,YELLOW,ORANGE,PURPLE,BLACK,WHITE,MOTHER,FATHER,SISTER,BROTHER,BABY,FAMILY,EAT,DRINK,WANT,LIKE,LOVE,HELP,KNOW,UNDERSTAND,GO,COME,SEE,LEARN,SLEEP,TIRED,ME,YOU,WATER,HOME,SCHOOL,BOOK,NAME,WHAT,WHERE,WHO,HOW,WHY,BIG,SMALL,HOT,COLD,STOP
FATHER,0.4939,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.247,0.247,0.0,0.247,0.247,0.753,1.0,0.2591,0.5061,0.0122,0.0122,0.247,0.247,0.247,0.0,0.0,0.0,0.4939,0.247,0.0,0.0,0.247,0.0,0.247,0.0,0.247,0.247,0.4939,0.0,0.247,0.0,0.247,0.247,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.247
SISTER,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.0,0.4939,0.4939,0.4939,0.247,0.0,0.247,0.5061,0.2591,1.0,0.753,0.2591,0.5061,0.247,0.7409,0.247,0.4939,0.0,0.4939,0.0,0.0,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.0,0.7409,0.0,0.0,0.247,0.247,0.0,0.0,0.7409,0.247,0.247,0.7409,0.247,0.247,0.0,0.0
BROTHER,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.0,0.4939,0.4939,0.247,0.247,0.247,0.247,0.2591,0.5061,0.753,1.0,0.2591,0.5061,0.0,0.4939,0.247,0.4939,0.0,0.4939,0.247,0.247,0.247,0.247,0.4939,0.247,0.247,0.247,0.0,0.0,0.4939,0.0,0.0,0.247,0.247,0.0,0.0,0.4939,0.247,0.4939,0.7409,0.247,0.0,0.0,0.0
BABY,0.0,0.0,0.4939,0.7409,0.247,0.0,0.0,0.7409,0.4939,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.4939,0.0122,0.0122,0.2591,0.2591,1.0,0.2591,0.0,0.247,0.4939,0.4939,0.247,0.4939,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.7409,0.247,0.0,0.0,0.0,0.247,0.7409,0.0,0.247,0.0,0.0,0.4939,0.4939,0.247,0.4939,0.0,0.247,0.247
FAMILY,0.247,0.4939,0.0,0.247,0.0,0.4939,0.4939,0.247,0.247,0.4939,0.4939,0.7409,0.7409,0.0,0.7409,0.7409,0.7409,0.7409,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.247,0.0122,0.0122,0.5061,0.5061,0.2591,1.0,0.0,0.247,0.4939,0.4939,0.0,0.7409,0.0,0.0,0.7409,0.7409,0.247,0.247,0.247,0.247,0.0,0.4939,0.247,0.0,0.247,0.4939,0.4939,0.247,0.4939,0.247,0.4939,0.247,0.7409,0.4939,0.0,0.0,0.247
EAT,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.247,0.0,0.0,0.247,0.4939,0.247,0.247,0.0,0.0,0.0,1.0,0.2591,0.0122,0.2591,0.2591,0.0122,0.5061,0.2591,0.0122,0.0122,0.0122,0.2591,0.2591,0.0,0.4939,0.247,0.4939,0.4939,0.247,0.0,0.247,0.0,0.0,0.247,0.0,0.247,0.0,0.247,0.4939,0.247,0.2591
DRINK,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.247,0.7409,0.0,0.0,0.247,0.4939,0.247,0.7409,0.4939,0.247,0.247,0.2591,1.0,0.2591,0.2591,0.0122,0.2591,0.0122,0.0122,0.2591,0.2591,0.2591,0.2591,0.2591,0.247,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.0,0.0,0.4939,0.247,0.247,0.4939,0.247,0.4939,0.0,0.0122
WANT,0.247,0.4939,0.0,0.4939,0.0,0.247,0.247,0.4939,0.247,0.247,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.0,0.247,0.0,0.4939,0.247,0.247,0.247,0.247,0.4939,0.4939,0.0122,0.2591,1.0,0.2591,0.0122,0.753,0.0122,0.0122,0.5061,0.5061,0.2591,0.2591,0.5061,0.247,0.0,0.247,0.0,0.0,0.247,0.7409,0.247,0.7409,0.247,0.0,0.4939,0.247,0.4939,0.4939,0.0,0.0,0.2591
LIKE,0.0,0.0,0.4939,0.247,0.4939,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.247,0.247,0.247,0.247,0.247,0.0,0.247,0.247,0.0,0.247,0.0,0.7409,0.0,0.0,0.4939,0.4939,0.4939,0.4939,0.2591,0.2591,0.2591,1.0,0.5061,0.5061,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,0.5061,0.4939,0.4939,0.0,0.247,0.247,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.4939,0.4939,0.247,0.4939,0.0122
LOVE,0.0,0.0,0.4939,0.0,0.7409,0.247,0.0,0.0,0.0,0.247,0.247,0.247,0.247,0.4939,0.247,0.247,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.0,0.2591,0.0122,0.0122,0.5061,1.0,0.0122,0.2591,0.5061,0.0122,0.0122,0.0122,0.0122,0.2591,0.247,0.4939,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.247,0.7409,0.0122
HELP,0.0,0.247,0.0,0.4939,0.0,0.247,0.247,0.4939,0.247,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0,0.247,0.4939,0.4939,0.0,0.4939,0.0,0.247,0.0,0.0,0.4939,0.4939,0.4939,0.7409,0.0122,0.2591,0.753,0.5061,0.0122,1.0,0.0122,0.0122,0.5061,0.5061,0.2591,0.2591,0.2591,0.247,0.0,0.247,0.247,0.0,0.247,0.7409,0.4939,0.4939,0.247,0.247,0.4939,0.247,0.7409,0.4939,0.0,0.0,0.2591
KNOW,0.247,0.0,0.4939,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.247,0.247,0.0,0.5061,0.0122,0.0122,0.2591,0.2591,0.0122,1.0,0.5061,0.0122,0.0122,0.2591,0.0122,0.2591,0.247,0.4939,0.247,0.247,0.247,0.4939,0.247,0.247,0.0,0.0,0.0,0.247,0.7409,0.0,0.4939,0.247,0.247,0.5061
UNDERSTAND,0.247,0.0,0.247,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.247,0.0,0.247,0.0,0.0,0.2591,0.0122,0.0122,0.2591,0.5061,0.0122,0.5061,1.0,0.0122,0.0122,0.2591,0.0122,0.2591,0.0,0.247,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.247,0.247,0.4939,0.0122
GO,0.247,0.4939,0.0,0.247,0.0,0.4939,0.7409,0.247,0.247,0.7409,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.247,0.4939,0.247,0.247,0.0,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.247,0.7409,0.0122,0.2591,0.5061,0.2591,0.0122,0.5061,0.0122,0.0122,1.0,1.0,0.2591,0.2591,0.2591,0.247,0.247,0.7409,0.0,0.0,0.247,0.4939,0.247,0.247,0.7409,0.0,0.4939,0.247,0.4939,0.4939,0.0,0.0,0.2591
COME,0.247,0.4939,0.0,0.247,0.0,0.4939,0.7409,0.247,0.247,0.7409,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.247,0.4939,0.247,0.247,0.0,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.247,0.7409,0.0122,0.2591,0.5061,0.2591,0.0122,0.5061,0.0122,0.0122,1.0,1.0,0.2591,0.2591,0.2591,0.247,0.247,0.7409,0.0,0.0,0.247,0.4939,0.247,0.247,0.7409,0.0,0.4939,0.247,0.4939,0.4939,0.0,0.0,0.2591
SEE,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.247,0.0122,0.2591,0.2591,0.2591,0.0122,0.2591,0.2591,0.2591,0.2591,0.2591,1.0,0.2591,0.2591,0.247,0.0,0.0,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.247,0.4939,0.247,0.247,0.0,0.0,0.2591
LEARN,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.247,0.247,0.247,0.247,0.2591,0.2591,0.2591,0.2591,0.0122,0.2591,0.0122,0.0122,0.2591,0.2591,0.2591,1.0,0.2591,0.4939,0.0,0.0,0.0,0.247,0.0,0.247,0.0,0.0,0.0,0.0,0.4939,0.247,0.247,0.247,0.0,0.0,0.0122
SLEEP,0.247,0.247,0.247,0.247,0.247,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.7409,0.247,0.247,0.247,0.247,0.247,0.247,0.2591,0.2591,0.5061,0.5061,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,1.0,0.247,0.247,0.0,0.0,0.4939,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0122
TIRED,0.0,0.0,0.4939,0.4939,0.247,0.0,0.0,0.5025,0.7495,0.0,0.0,0.0,0.0,0.5061,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.247,0.7409,0.247,0.0,0.247,0.247,0.4939,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.4939,0.247,1.0,0.247,0.0,0.0,0.0,0.247,0.4939,0.0,0.0,0.0,0.0,0.7409,0.4939,0.2591,0.5061,0.0122,0.2591,0.247
ME,0.0,0.0,0.4939,0.0,0.4939,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.0,0.247,0.4939,0.247,0.247,0.0,0.0,0.247,0.0,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.4939,0.247,0.247,0.247,0.0,0.0,0.247,0.247,1.0,0.5061,0.247,0.247,0.247,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.0,0.247,0.247,0.4939,0.247
YOU,0.247,0.4939,0.0,0.0,0.0,0.4939,0.7409,0.0,0.0,0.7409,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.247,0.4939,0.247,0.247,0.0,0.247,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.0,0.0,0.247,0.247,0.0,0.7409,0.7409,0.0,0.0,0.0,0.0,0.5061,1.0,0.247,0.0,0.4939,0.247,0.4939,0.247,0.7409,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.4939
