split,gloss,clip_id,n_frames
test,FAMILY,8060450596200075-FAMILY,23
train,COLD,11466999035726255-COLD,23
test,HELLO,7472491282176557-HELLO,43
test,WANT,27618561187311874-WANT 2,36
test,FOUR,2294038067755373-FOUR,23
test,FAMILY,06358416185616833-FAMILY,30
train,YOU,6298308396800849-YOU,15
val,BLUE,01553665764183787-BLUE,20
train,WHO,17383536861491344-WHO,28
test,SORRY,010369524824967558-SORRY,14
train,HOW,3119997663932217-HOW,23
train,MOTHER,3624106996012926-MOTHER,26
train,THANK YOU,3790733585897841-seedTHANK YOU,54
train,HELP,5574926687456125-HELP,26
train,WHAT,8907945228853642-WHAT 2,38
train,GOODBYE,9682333715513665-BYE,16
test,GREEN,7335136138160512-GREEN,14
test,COME,7399984921358038-COME,24
test,GOODBYE,2223181186410932-BYE,25
test,PURPLE,2955945036648915-PURPLE,35
train,STOP,6529230226346452-STOP,19
train,THREE,5617294863115725-THREE,27
val,NO,8079226457278508-NO,23
test,WHAT,404671863993352-WHAT 2,10
test,BOOK,29872450360285696-BOOK,12
val,SLEEP,4876077931735432-SLEEP,21
train,MOTHER,5016352016219428-MOTHER,18
test,HOW,5979307187574394-HOW,24
test,WATER,7006268761752481-WATER,35
train,THREE,39076926116400745-THREE,17
test,ME,8941049731507169-ME,17
test,FOUR,5278240556504277-FOUR,9
train,FOUR,4020047924491805-FOUR,23
train,BABY,9276367687372418-BABY,29
train,WHY,28913897920899023-WHY,42
test,BAD,3763434553768781-BAD,25
train,WHERE,7750734997528588-WHERE,20
train,COLD,5765213045805393-COLD,40
train,SMALL,4730005203157246-seedSMALL,38
train,BAD,2507302256262631-BAD,16
train,COLD,40997457816037786-COLD,19
test,WHERE,37275461912744046-WHERE,37
val,SEVEN,3805414515815826-SEVEN,24
test,STOP,10938335699122836-STOP,10
train,GOODBYE,4567979691425712-seedBYE,33
val,BABY,6630832264683122-BABY,23
train,COLD,39992598966476045-COLD,17
train,SIX,2943130704557879-SIX,20
train,COME,5245211280359048-COME,20
test,GO,19195912453679753-GO,18
train,GO,7813105619399183-GO,52
test,WATER,6604106363350253-WATER,19
test,GO,6413893522655711-GO,30
train,NINE,34339348264869574-NINE,19
test,PURPLE,29355912356884195-PURPLE,43
train,HELP,09953879192572268-seedHELP,52
train,YES,1555998439795525-YES,27
train,WANT,7637262020700946-WANT 2,25
train,PURPLE,08586249572766924-PURPLE,16
test,FATHER,45250815650161336-FATHER,27
train,YOU,7924736335453846-YOU,37
test,HELP,9165653074606479-HELP,34
val,HOW,971003020665846-HOW,24
train,HAPPY,546204032322096-HAPPY,28
test,WANT,6718261856672789-WANT 2,13
test,EAT,7291224290785421-EAT,27
train,DRINK,21577690984159714-DRINK,40
train,GOODBYE,048776623388550044-BYE,17
train,BAD,008134541577476506-BAD,23
test,NAME,721473614329061-NAME,22
test,HOW,6119825081396184-HOW,29
train,LOVE,3516860036460976-LOVE,28
train,BABY,5281107839633257-BABY,63
train,ONE,1257229740442749-ONE,22
test,HOT,23737096674333502-HOT,29
test,TWO,21792036590152164-TWO,27
train,WHERE,6999394901611251-WHERE,19
train,WHAT,0628291186114378-WHAT 2,18
test,ONE,7589052265859373-ONE,33
test,PURPLE,5990791080325455-PURPLE,22
test,NO,3247833356457248-NO,14
test,EAT,7640667133656183-EAT,13
test,RED,8102554441260599-RED,33
train,WHAT,8017117058905951-WHAT 2,16
test,SCHOOL,8188942667223229-SCHOOL,21
test,PLEASE,11854818371036102-PLEASE,33
train,BOOK,5250420040806927-BOOK,15
train,FAMILY,1654484908904772-FAMILY,18
train,YOU,3273120364218567-YOU,14
train,LEARN,7373699847035962-LEARN,18
train,SORRY,7662883760067802-SORRY,48
train,WANT,5148839477289167-WANT 2,16
test,HELP,5043430847938863-HELP,32
test,LIKE,618705132779968-LIKE,15
train,HELLO,6448349493816601-HELLO,15
train,MOTHER,9303557889829679-MOTHER,17
test,NAME,38747687874121217-NAME,35
train,HAPPY,9858325161708861-HAPPY,25
train,RED,49645746418775105-RED,24
train,GOOD,7988103105967095-GOOD,21
test,FATHER,5897060584047606-FATHER,15
test,LEARN,90115254687291-LEARN,42
test,FOUR,5141622294161379-FOUR,10
train,TIRED,30872695257963656-TIRED,22
test,WHO,6257839200605431-WHO,16
train,ORANGE,8143628970911239-ORANGE,32
train,NO,9616432008129339-NO,25
train,TIRED,6064203764964768-TIRED,38
train,LOVE,544773713165329-LOVE,24
test,BLUE,7176509553520993-BLUE,22
train,THANK YOU,6508465822424006-THANK YOU,26
test,RED,4639625914111425-RED,29
train,COME,7764581525163443-COME,14
test,WATER,6252432727581858-WATER,14
test,NAME,2650581877009257-NAME,31
train,BLUE,23410020805724652-BLUE,18
train,WHO,22349971035391758-WHO,16
test,BABY,38530661884304074-BABY,37
train,WHAT,011439809438488657-WHAT 2,27
val,BABY,38156047806779547-BABY,28
val,ME,34076966817997323-ME,24
test,WANT,4592926945829485-WANT 2,20
val,WHAT,9106828060005678-WHAT 2,18
train,SMALL,17606509610897247-SMALL,43
test,SCHOOL,4173145279866881-SCHOOL,26
train,FAMILY,801580215278554-FAMILY,32
train,SEVEN,5313155829321003-SEVEN,27
val,LEARN,9349267580836926-LEARN,52
train,TWO,7391350877622198-TWO,13
test,COLD,7255958576286803-COLD,21
test,UNDERSTAND,2374155228317818-UNDERSTAND,17
test,SCHOOL,7827802094256076-SCHOOL,23
test,YES,05574938180658928-YES,11
test,LIKE,9359906689689883-LIKE,12
test,BIG,0016996799439721322-BIG,24
train,SMALL,43505759423144474-SMALL,25
test,WANT,8801114874556712-WANT 2,16
test,NINE,3222160502487865-NINE,20
train,SIX,30387105972416184-SIX,19
test,HOME,0462475122803383-HOME,28
train,SEE,682277049268821-SEE,20
train,NINE,703306221318301-NINE,27
val,BLUE,43141331649516945-BLUE,37
test,WHERE,03717365663139738-WHERE,20
test,HOME,12817656792505772-HOME,14
train,EAT,8083635818179542-EAT,26
test,UNDERSTAND,6605969835390502-UNDERSTAND,17
test,WANT,48432220527537195-WANT 2,13
test,BABY,9322322450348093-BABY,66
test,GO,2791819246477536-GO,25
test,NO,5328649685588343-NO,31
test,HOME,2819168857196481-HOME,24
train,SISTER,2672044999092307-SISTER,23
train,THANK YOU,6528064521146906-THANK YOU,25
test,PURPLE,35096514944316914-PURPLE,20
train,SIX,3952712513292911-SIX,34
train,FAMILY,1638014502482117-FAMILY,35
test,PURPLE,06557085999473089-PURPLE,29
test,HOW,25388875174562653-HOW,20
train,SIX,6358240776836663-SIX,20
val,SLEEP,8541893071831477-SLEEP,18
test,HOT,7372312746506302-HOT,41
train,TWO,4014306365480844-TWO,32
test,WHY,09164331443344143-WHY,28
train,NO,2140134632834978-NO,25
val,WHERE,7404223141679687-WHERE,20
val,PURPLE,5750125405910644-PURPLE,17
train,BABY,8611009401896237-BABY,45
test,WHITE,5112353440646757-WHITE,44
test,PURPLE,9549231546764492-PURPLE,31
train,EIGHT,40702086170853957-EIGHT,25
val,SISTER,03902304347683705-SISTER,27
train,YES,709429051156695-YES,31
test,KNOW,3814009077656757-KNOW,32
val,WHO,24758144482774802-WHO,17
test,NAME,5222576863044399-NAME,30
train,SORRY,675487631009581-SORRY,32
test,SISTER,6286166587594828-SISTER,17
train,THANK YOU,39425766670939555-THANK YOU,51
train,SMALL,7773877074443272-SMALL,22
train,YES,16728596536749274-YES,25
test,SISTER,3529011716605366-SISTER,22
test,SMALL,9100330154615108-SMALL,22
test,BLUE,39604229878593755-BLUE,14
test,GOOD,7699430066397663-GOOD,17
train,THANK YOU,8487114823108493-THANK YOU,35
train,ORANGE,1573156729800702-ORANGE,26
test,TWO,24180821046509338-TWO,24
test,THANK YOU,6936836055005255-THANK YOU,25
val,BAD,25163871214803346-BAD,34
test,TWO,08670031963237901-TWO,20
train,GO,10496700688928162-GO,26
train,FATHER,8528744514122979-FATHER,29
train,HOW,4657020083869885-HOW,14
test,HAPPY,5442330055496771-HAPPY,33
train,COME,826349513489413-COME,20
train,BOOK,4865367417269335-BOOK,20
train,BLACK,6431006989333747-seedBLACK,41
test,SEE,9908740266244704-SEE,16
test,LIKE,14992936899376108-LIKE,32
test,STOP,692674622436245-STOP,30
train,BABY,3583387896315031-BABY,43
train,BLUE,10150663285351214-BLUE,25
train,HOT,241335509121118-HOT,27
test,TWO,8059203050407333-TWO,21
train,GREEN,7390455024509361-GREEN,21
train,GOOD,5586839450092025-GOOD,25
test,UNDERSTAND,27832701315476815-UNDERSTAND,15
train,BLACK,8608492596931572-BLACK,29
test,BLACK,03843442884875414-BLACK,46
test,PURPLE,7684376478509318-PURPLE,15
test,LEARN,8354334844320983-LEARN,23
train,HAPPY,9607097492455248-HAPPY,35
train,WHITE,9742348554293634-WHITE,20
val,SORRY,6387762756061144-SORRY,45
train,ORANGE,023588612291894906-ORANGE,27
test,COLD,39972345824182876-COLD,24
train,FOUR,7964322222241194-FOUR,19
test,WHAT,9155674205578053-WHAT 2,22
test,BLUE,9697067996657991-BLUE,24
val,BIG,06196342319478165-BIG,38
train,SEVEN,7785445025832627-SEVEN,20
test,YELLOW,8471836538815907-YELLOW,31
val,NINE,4396925655719641-NINE,39
train,LEARN,6433677117622094-LEARN,32
test,TWO,4944603204831548-TWO,29
test,NINE,4600763876177605-NINE,17
train,BLACK,2943001197646342-BLACK,21
train,HOW,8835516863640922-seedHOW,41
train,SMALL,5278443932118966-SMALL,28
train,FOUR,9121749563331172-FOUR,17
train,UNDERSTAND,9807956157005397-seedUNDERSTAND,40
train,MOTHER,3594639642396176-MOTHER,26
train,SLEEP,2117342026115856-SLEEP,31
test,SEE,10523671017836955-SEE,15
train,WHERE,5985508360496106-WHERE,14
train,EIGHT,024763583004066003-EIGHT,32
train,FATHER,3512784023936262-FATHER,19
test,GO,032373382598848366-GO,29
test,EAT,5035301373430681-EAT,12
val,EAT,009883456113471967-EAT,52
test,SEE,8224527695408073-SEE,11
train,SEVEN,6651272031979116-SEVEN,32
train,EAT,3878260902223658-EAT,17
train,BLACK,6404625490323916-BLACK,21
test,BLACK,13786429847818238-BLACK,24
train,WHITE,4741310832000436-WHITE,16
train,BLACK,8169915567311767-BLACK,15
val,DRINK,7313509467149351-DRINK,38
val,YOU,298155207775465-YOU,20
train,PURPLE,018205117440444507-PURPLE,47
val,NAME,5439490417710435-NAME,19
train,NO,09714329486323847-NO,14
train,WHERE,9824526442836845-WHERE,20
train,WATER,057571220614212715-WATER,23
test,HELP,3347819641252294-HELP,49
train,WHO,9311041997261886-WHO,28
test,WATER,4408911106822304-WATER,32
train,EIGHT,4213219451197576-EIGHT,30
test,LEARN,9964669701367461-LEARN,20
test,SORRY,5199425437483545-SORRY,18
train,SLEEP,82979631907834-SLEEP,17
train,BLUE,17600039010468804-BLUE,54
train,NINE,0484770172692337-NINE,16
test,HELP,531487732428322-HELP,40
test,BAD,4720037702546913-BAD,19
train,EAT,4589443576656864-EAT,14
val,COLD,01776429634261567-COLD,19
test,NINE,819028006626159-NINE,11
train,SEE,9386805628062223-SEE,21
train,BLUE,5813887746500852-BLUE,19
test,LOVE,499380155781485-LOVE,30
train,GO,7819362494402429-GO,25
test,PLEASE,6936039479099299-PLEASE,46
train,SMALL,5364358287706597-SMALL,19
train,EAT,3407129339550383-EAT,21
train,MOTHER,7542254268771809-MOTHER,19
train,HAPPY,6249242465723734-HAPPY,17
train,WHITE,6448236951011861-WHITE,24
train,UNDERSTAND,030959011181703078-UNDERSTAND,17
train,BLACK,9854016879981524-BLACK,27
train,GO,5363852654946244-GO,28
test,WHY,9178007741963472-WHY,25
train,COLD,8543628437567765-COLD,63
train,FATHER,6080643843120164-FATHER,17
train,RED,5093165671360214-RED,20
val,LEARN,6755549258971778-LEARN,24
train,YELLOW,001531801362371743-YELLOW,81
val,BLACK,15531684870350038-BLACK,47
test,WHAT,30590478365410667-WHAT 2,19
val,SEE,680337953755801-SEE,17
train,SISTER,37634487188318655-SISTER,28
test,UNDERSTAND,941475953685674-UNDERSTAND,39
test,ORANGE,7759487393928293-ORANGE,25
val,HELLO,16493550450776628-HELLO,41
test,GREEN,8521113894614278-GREEN,13
test,TWO,47940759774229513-TWO,21
train,LIKE,48852938778695965-LIKE,24
train,NINE,26718272677630317-NINE,15
train,THREE,9883948960288635-THREE,24
test,UNDERSTAND,5169212541197368-UNDERSTAND,30
test,HAPPY,9350853025929522-HAPPY,52
test,EAT,25398273569443774-EAT,33
train,EIGHT,9818647737725137-EIGHT,23
train,DRINK,3150362992415996-DRINK,28
train,NINE,5697649035143537-NINE,15
test,NINE,20489516363250782-NINE,11
train,SLEEP,10667360637258794-SLEEP,63
test,SIX,2743611961352015-SIX,52
train,BABY,3341080986338991-BABY,24
train,KNOW,7801346725394491-KNOW,21
train,RED,867677340747856-RED,22
train,MOTHER,6976573288663246-MOTHER,25
train,SLEEP,7971194940709927-SLEEP,30
train,KNOW,6724485649936158-KNOW,20
test,TWO,7069232354445314-TWO,23
test,WHERE,12174913678763644-WHERE,30
train,WHERE,32552115561898876-WHERE,43
test,PLEASE,8166852609962443-PLEASE,35
test,TWO,9132052531915253-TWO,16
train,NAME,9125300798453833-NAME,17
test,FOUR,18563266850591176-FOUR,12
test,RED,20696771943044578-RED,32
train,WHERE,7968041209479837-WHERE,53
train,COLD,6113894949381462-seedCOLD,53
test,GOODBYE,36995928249155363-BYE,24
test,DRINK,6657698379837473-DRINK,34
train,FATHER,9265869776877644-FATHER,25
train,GO,9981647509356435-GO,16
train,HOME,9565332233790493-HOME,18
train,BROTHER,4460836108274411-BROTHER,26
test,STOP,680707762189654-STOP,27
train,GOODBYE,4327026387490418-BYE,37
test,UNDERSTAND,6508787541133374-UNDERSTAND,31
test,DRINK,1184248496668674-DRINK,15
train,ONE,1411641008641411-ONE,16
test,ORANGE,8163586623564663-ORANGE,19
train,ME,6366246076484883-ME,28
val,TWO,7193306966325836-TWO,17
train,LEARN,003104967374903289-LEARN,21
test,SIX,35543549766403615-SIX,30
train,BLUE,48674136385633116-BLUE,15
train,RED,6437492429835092-RED,27
train,UNDERSTAND,0497069696398067-UNDERSTAND,26
train,TIRED,8186237678554815-TIRED,24
train,GOOD,9521412407799632-GOOD,18
test,WHY,2952311704357522-WHY,30
test,GOOD,1636907769941489-GOOD,22
train,WHERE,5589002661440625-WHERE,39
test,NAME,418905208580302-NAME,32
test,COME,5358275641298946-COME,15
train,ME,22192344699736766-ME,13
val,PLEASE,42961246858695024-PLEASE,23
test,BAD,24751730661041682-BAD,24
test,NINE,07270539352192218-NINE,12
test,THREE,5134737021726334-THREE,12
test,GOODBYE,6225526845167895-BYE,37
train,ONE,10818908631731938-ONE,29
test,SISTER,43850343684093573-SISTER,36
train,GOODBYE,8852825102646966-BYE,31
train,COLD,8701465924878977-COLD,32
test,TIRED,5512637778281371-TIRED,12
val,TWO,6958576650414083-TWO,19
train,FOUR,43379976436209144-FOUR,18
val,MOTHER,7266802248917938-MOTHER,15
test,NAME,7157719195212653-NAME,37
test,UNDERSTAND,6191415507296982-UNDERSTAND,12
val,THREE,6999726398588908-THREE,24
train,SISTER,8364889976962788-SISTER,30
train,STOP,6679488064816475-STOP,20
val,YOU,35038040842137197-YOU,40
test,WHY,32965084799922706-WHY,30
test,YES,9782863224987515-YES,14
train,NINE,5346981862739508-seedNINE,34
val,HOT,18049350165719025-HOT,24
test,BOOK,6950933859203254-BOOK,19
test,COLD,8267310129123884-COLD,34
test,SIX,66952819961142-SIX,33
test,HOME,19580126719501179-HOME,32
test,FAMILY,8931379850242065-FAMILY,19
train,MOTHER,5651079602343521-seedMOTHER,55
test,SEVEN,8527301366262503-SEVEN,30
train,BROTHER,5300191533671401-BROTHER,27
test,SIX,15495056482554492-SIX,16
test,YES,7442618628569746-YES,31
test,EAT,4641646458517976-EAT,23
test,WATER,7705639151800205-WATER,49
test,GOOD,6813680247909-GOOD,10
train,BIG,5984958993020424-BIG,16
train,MOTHER,594799660772781-MOTHER,23
test,WHY,7308465390923164-WHY,34
test,ONE,136232969247694-ONE,21
test,GO,16923876012285466-GO,33
train,STOP,21963390619756917-STOP,15
val,GOOD,7791424980867376-GOOD,18
test,WHY,576863051440268-WHY,29
train,SIX,9452601168252932-SIX,25
test,RED,8041486459685812-RED,19
train,ONE,6903954061880513-ONE,14
train,FATHER,30674313805858255-FATHER,26
test,DRINK,6863272868161578-DRINK,25
test,ORANGE,47163334562714154-ORANGE,9
train,WHO,05073186101305538-WHO,46
train,HOW,9117355925466168-HOW,21
test,TIRED,9393485979639316-TIRED,21
test,BABY,9216801937379264-BABY,25
test,HOW,06437354909692172-HOW,29
test,WANT,03439441385308273-WANT 2,28
train,LIKE,4726973530309644-LIKE,52
test,FATHER,18379040774402422-FATHER,14
train,COME,055732368427704904-COME,79
train,EAT,6012215303497841-EAT,27
train,DRINK,7985319657788752-seedDRINK,42
test,ORANGE,3866312845554276-ORANGE,15
test,SEVEN,3365063400152095-SEVEN,24
val,HELP,6037747479203328-HELP,20
test,BOOK,774298823461816-BOOK,45
test,HOW,3976156540390696-HOW,18
train,WHO,044977332478077336-WHO,27
val,SISTER,947388841484097-SISTER,15
train,EIGHT,3817844696728503-EIGHT,61
test,TWO,1522542977654986-TWO,39
train,BROTHER,6960348427524927-BROTHER,35
train,BOOK,9959161578599864-BOOK,26
train,BROTHER,13498585088047066-BROTHER,30
train,WHITE,26477726851585603-WHITE,18
test,BAD,34169036359301463-BAD,33
train,UNDERSTAND,5190569218964376-UNDERSTAND,33
val,SLEEP,32838564647007873-SLEEP,34
train,SMALL,08785252118795328-SMALL,30
train,YOU,14637905185166056-YOU,30
test,SMALL,9292023440580952-SMALL,25
train,PLEASE,8801721942460268-PLEASE,68
val,DRINK,7071450710791192-DRINK,16
train,YELLOW,6975969334811052-YELLOW,31
val,HOME,4111158323472113-HOME,14
train,YOU,17987836792170242-YOU,20
val,ORANGE,2969615391597238-ORANGE,18
val,EIGHT,385262643606721-EIGHT,16
test,YOU,01653635897919692-YOU,34
test,EAT,40193405478785693-EAT,35
test,ONE,49048216453326043-ONE,21
test,SEVEN,42335049059386565-SEVEN,19
test,SORRY,9645970507449169-SORRY,31
test,THANK YOU,7057474129672285-THANK YOU,19
test,SLEEP,6537841190153333-SLEEP,12
val,HELP,4382571867616978-HELP,21
train,SMALL,297683528773413-SMALL,26
train,WHAT,8405493387581946-WHAT 2,28
test,GOOD,5817237493367622-GOOD,24
train,PURPLE,4816853578485114-PURPLE,24
test,BLUE,7558608455138811-BLUE,29
train,NO,5082858473744953-NO,32
train,SCHOOL,8638262994392436-SCHOOL,39
test,COME,7366178620686341-COME,46
test,YOU,5521129539800975-YOU,49
train,SCHOOL,9134558322318354-SCHOOL,23
test,HELP,032534532433647456-HELP,20
test,RED,9562965718628607-RED,18
train,YES,9009854854743657-YES,22
test,PURPLE,44043968626113106-PURPLE,25
train,BABY,9513515411387501-BABY,20
val,HELLO,20675411351630046-HELLO,18
train,ME,5706413352425115-ME,17
test,YELLOW,015525886934910194-YELLOW,23
test,THANK YOU,25130175957831113-THANK YOU,13
val,PLEASE,05859480723249688-PLEASE,18
test,STOP,564285386999722-STOP,18
train,LOVE,8291491506273367-LOVE,30
test,MOTHER,839986126568294-MOTHER,24
train,FOUR,6350460632371935-FOUR,29
train,COME,39081440676355306-COME,18
test,EIGHT,09469560785190256-EIGHT,15
train,WANT,47159683708396893-WANT 2,23
train,ORANGE,4177139390369162-ORANGE,15
train,KNOW,44287895160245094-KNOW,20
test,LIKE,8311673208101575-LIKE,18
test,EAT,5672396093022622-EAT,12
val,SIX,24335093572878197-SIX,21
test,MOTHER,2815788565679065-MOTHER,10
val,GOODBYE,8779944008396092-BYE,15
test,YOU,548210838440605-YOU,32
val,WHY,38099175964004983-WHY,23
train,GO,19142855644010948-GO,17
test,GREEN,38510356895492914-GREEN,31
train,HOW,8268472142479768-HOW,25
train,BLUE,6763835766192721-BLUE,23
val,EAT,744008724339543-EAT,25
train,WHITE,9377005568553618-WHITE,17
test,COME,43531964221110075-COME,21
train,KNOW,0932553475843072-KNOW,27
train,STOP,6922819981617203-STOP,77
test,RED,13446838087840018-RED,29
val,WHY,5132756077874947-WHY,41
test,BROTHER,4693063442024332-BROTHER,32
test,FOUR,5498234115125136-FOUR,28
test,HELP,7816987530892228-HELP,13
train,WHAT,1532464203763655-WHAT 2,16
test,SISTER,04329248585848222-SISTER,20
test,SISTER,39360373168973983-SISTER,39
test,HELLO,9441415075906014-HELLO,14
val,BLACK,2816071785934098-BLACK,21
train,HELLO,11225598264242453-HELLO,23
train,HAPPY,8822793673438183-HAPPY,26
test,SLEEP,983844511939516-SLEEP,26
train,WANT,08375958886756041-WANT 2,21
val,BOOK,8364442922972546-BOOK,40
train,BLUE,18167694443493398-BLUE,29
test,BIG,8840387735817254-BIG,23
train,BABY,4737200861704809-BABY,18
train,THREE,6219064392470588-THREE,31
test,WHITE,23222004944717023-WHITE,9
test,WHO,2590814753491968-WHO,16
train,BIG,03884623593153802-BIG,17
test,BLUE,09699208280508653-BLUE,24
test,HELLO,9042145214602195-HELLO,14
train,YELLOW,7116888865286974-YELLOW,30
train,COLD,9157460455592226-COLD,19
train,NO,5372668319999747-NO,19
test,LIKE,754822541664977-LIKE,35
train,HOW,9811460119529283-HOW,28
train,WANT,39269779031539565-WANT 2,84
val,BOOK,14652404970670685-BOOK,18
train,BOOK,35577698333107777-BOOK,12
